"","x"
"1251","No schooling"
"1252","No schooling"
"1253","Middle"
"1254","Middle"
"1255","Preschool/ Primary"
"1256","Matric"
"1257","Masters or above"
"1258","Preschool/ Primary"
"1259","No schooling"
"1260","Preschool/ Primary"
"1261","Middle"
"1262","No schooling"
"1263","Preschool/ Primary"
"1264","Middle"
"1265","No schooling"
"1266","Preschool/ Primary"
"1267","Middle"
"1268","Intermediate"
"1269","Preschool/ Primary"
"1270","Graduation"
"1271","No schooling"
"1272","No schooling"
"1273","Matric"
"1274","No schooling"
"1275","Preschool/ Primary"
"1276","Preschool/ Primary"
"1277","No schooling"
"1278","Graduation"
"1279","Graduation"
"1280","Matric"
"1281","Middle"
"1282","No schooling"
"1283","Preschool/ Primary"
"1284","Preschool/ Primary"
"1285","Preschool/ Primary"
"1286","Matric"
"1287","No schooling"
"1288","No schooling"
"1289","Matric"
"1290","No schooling"
"1291","Matric"
"1292","Preschool/ Primary"
"1293","Matric"
"1294","Preschool/ Primary"
"1295","Middle"
"1296","Preschool/ Primary"
"1297","Preschool/ Primary"
"1298","Preschool/ Primary"
"1299","No schooling"
"1300","Matric"
"1301","Preschool/ Primary"
"1302","No schooling"
"1303","Middle"
"1304","Preschool/ Primary"
"1305","Middle"
"1306","No schooling"
"1307","Preschool/ Primary"
"1308","No schooling"
"1309","Preschool/ Primary"
"1310","Matric"
"1311","Preschool/ Primary"
"1312","No schooling"
"1313","Intermediate"
"1314","Matric"
"1315","Intermediate"
"1316","Preschool/ Primary"
"1317","No schooling"
"1318","Middle"
"1319","Matric"
"1320","No schooling"
"1321","Preschool/ Primary"
"1322","Preschool/ Primary"
"1323","Preschool/ Primary"
"1324","Preschool/ Primary"
"1325","Middle"
"1326","Matric"
"1327","Preschool/ Primary"
"1328","No schooling"
"1329","No schooling"
"1330","No schooling"
"1331","Preschool/ Primary"
"1332","Preschool/ Primary"
"1333","Middle"
"1334","Preschool/ Primary"
"1335","Preschool/ Primary"
"1336","Preschool/ Primary"
"1337","Middle"
"1338","Matric"
"1339","No schooling"
"1340","No schooling"
"1341","No schooling"
"1342","Preschool/ Primary"
"1343","Graduation"
"1344","Preschool/ Primary"
"1345","Preschool/ Primary"
"1346","Matric"
"1347","Matric"
"1348","Intermediate"
"1349","Intermediate"
"1350","Middle"
"1351","Matric"
"1352","Intermediate"
"1353","Matric"
"1354","Matric"
